held_out,recording,protocol,n_windows,exact,hand,hand_bal,elbow,elbow_bal,shoulder,shoulder_bal
gary_20260811,multi_gary_20260811_17-11-49,2,3691,0.8769981034949879,0.999458141425088,0.998220640569395,0.8775399620698997,0.8071767095231193,1.0,1.0
gary_20260811,multi_gary_20260811_17-23-12,2,3717,0.8845843422114609,1.0,1.0,0.8948076405703524,0.8280562884784521,0.9873553941350551,0.9725467289719626
gary_20260821,multi_gary_20260821_22-03-40,2,3790,0.7569920844327177,1.0,1.0,0.7569920844327177,0.8014846077457796,1.0,1.0
gary_20260821,multi_gary_20260821_22-17-38,2,3793,0.6240442921170577,0.992617980490377,0.9970464135021098,0.6314263116266807,0.6472913138827971,0.9992090693382547,0.9994891008174387
neil_20260810,multi_neil_20260810_21-17-16,2,3189,0.5497021009720916,0.9617434932580746,0.9558963294033033,0.5675760426465977,0.4235087784504026,0.7889620570711822,0.8192534267418168
neil_20260810,multi_neil_20260810_21-35-03,2,2880,0.7482638888888888,0.9204861111111111,0.82921974522293,0.9232638888888889,0.8804308624878916,0.8538194444444445,0.8743397957428374
neil_20260810,multi_neil_20260810_21-54-56,2,3796,0.6714963119072708,0.7115384615384616,0.5280456385719543,0.9380927291886196,0.9043439041225154,0.9781348788198103,0.98505294151044
