t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
671107.498,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671107.525,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.534,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671107.542,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671107.554,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.562,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.570,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.578,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.583,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.592,0,0,0,1.000,0.977,1.000,-90.00,180.00,0.00,OPEN,0
671107.596,0,0,0,1.000,0.618,1.000,-90.00,180.00,0.00,OPEN,0
671107.600,0,0,0,1.000,0.634,1.000,-90.00,180.00,0.00,OPEN,0
671107.606,0,0,0,1.000,0.788,1.000,-90.00,180.00,0.00,OPEN,0
671107.610,0,0,0,1.000,0.983,1.000,-90.00,180.00,0.00,OPEN,0
671107.614,0,0,0,1.000,0.921,1.000,-90.00,180.00,0.00,OPEN,0
671107.619,0,0,0,1.000,0.850,1.000,-90.00,180.00,0.00,OPEN,0
671107.627,0,0,0,1.000,0.883,1.000,-90.00,180.00,0.00,OPEN,0
671107.631,0,0,0,1.000,0.609,1.000,-90.00,180.00,0.00,OPEN,0
671107.635,0,0,0,1.000,0.994,1.000,-90.00,180.00,0.00,OPEN,0
671107.639,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.643,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.646,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.650,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.654,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.658,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.663,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.668,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.672,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.676,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.685,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.694,0,0,0,1.000,0.989,1.000,-90.00,180.00,0.00,OPEN,0
671107.697,0,0,0,1.000,0.997,1.000,-90.00,180.00,0.00,OPEN,0
671107.702,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.706,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.712,0,0,0,0.999,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671107.716,0,0,0,0.999,0.838,1.000,-90.00,180.00,0.00,OPEN,0
671107.720,0,0,0,0.993,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.724,0,0,0,0.981,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.728,0,0,0,0.991,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.735,0,0,0,0.996,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.739,0,0,0,0.999,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.744,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.748,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.755,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.764,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.769,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.773,0,0,0,0.998,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.778,0,0,0,0.993,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671107.782,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.786,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.791,0,0,0,0.994,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.795,0,0,0,0.993,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.800,0,0,0,0.997,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.806,0,0,0,0.999,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.811,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.816,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.821,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.826,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.830,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.837,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.842,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.847,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.855,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.862,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.867,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.872,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.876,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.880,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.885,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.893,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.904,0,0,0,0.999,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.914,0,0,0,0.946,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.925,0,0,0,0.598,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.941,0,0,0,0.899,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.955,0,0,0,0.987,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671107.963,0,0,0,0.997,0.996,1.000,-90.00,180.00,0.00,OPEN,0
671107.972,0,0,0,0.999,0.589,1.000,-90.00,180.00,0.00,OPEN,0
671107.980,0,0,0,0.999,0.964,1.000,-90.00,180.00,0.00,OPEN,0
671107.989,0,0,0,1.000,0.974,1.000,-90.00,180.00,0.00,OPEN,0
671107.997,0,0,0,1.000,0.891,1.000,-90.00,180.00,0.00,OPEN,0
671108.002,0,0,0,1.000,0.628,1.000,-90.00,180.00,0.00,OPEN,0
671108.006,0,0,0,0.999,0.660,1.000,-90.00,180.00,0.00,OPEN,0
671108.010,0,0,0,0.983,0.814,1.000,-90.00,180.00,0.00,OPEN,0
671108.015,0,0,0,0.690,0.920,1.000,-90.00,180.00,0.00,OPEN,0
671108.021,0,0,0,0.608,0.974,1.000,-90.00,180.00,0.00,OPEN,0
671108.025,0,0,0,1.000,0.995,1.000,-90.00,180.00,0.00,OPEN,0
671108.029,0,0,0,0.999,0.997,1.000,-90.00,180.00,0.00,OPEN,0
671108.033,0,0,0,0.995,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.042,0,0,0,0.996,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.045,0,0,0,0.999,0.998,1.000,-90.00,180.00,0.00,OPEN,0
671108.050,0,0,0,1.000,0.995,1.000,-90.00,180.00,0.00,OPEN,0
671108.054,0,0,0,1.000,0.994,1.000,-90.00,180.00,0.00,OPEN,0
671108.062,0,0,0,1.000,0.997,1.000,-90.00,180.00,0.00,OPEN,0
671108.066,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.070,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.075,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.079,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.083,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.088,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.092,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.096,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.103,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.107,0,0,0,1.000,0.959,1.000,-90.00,180.00,0.00,OPEN,0
671108.111,0,0,0,1.000,0.805,1.000,-90.00,180.00,0.00,OPEN,0
671108.115,0,0,0,1.000,0.804,1.000,-90.00,180.00,0.00,OPEN,0
671108.120,0,0,0,1.000,0.750,1.000,-90.00,180.00,0.00,OPEN,0
671108.124,0,0,0,1.000,0.804,1.000,-90.00,180.00,0.00,OPEN,0
671108.129,0,0,0,1.000,0.968,1.000,-90.00,180.00,0.00,OPEN,0
671108.133,0,0,0,1.000,0.976,1.000,-90.00,180.00,0.00,OPEN,0
671108.137,0,0,0,1.000,0.981,1.000,-90.00,180.00,0.00,OPEN,0
671108.141,0,0,0,1.000,0.998,1.000,-90.00,180.00,0.00,OPEN,0
671108.145,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.149,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.153,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.157,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.161,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.165,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.169,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.173,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.177,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.182,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.186,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.190,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.198,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.202,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.206,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.210,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.215,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.219,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.224,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.231,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.235,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.240,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.244,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.250,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.254,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.258,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.263,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.267,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.271,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.275,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.279,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.284,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.292,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.297,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.301,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.305,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.309,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.313,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.317,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.322,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.327,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.331,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.335,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.346,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.350,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.355,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.359,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.362,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.366,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.372,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.376,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.380,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.384,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.391,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
671108.395,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.400,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.405,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
671108.409,0,0,0,1.000,0.997,1.000,-90.00,180.00,0.00,OPEN,0
