t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
121581.671,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121581.734,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121581.750,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121581.781,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121581.796,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121581.812,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121581.843,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121581.875,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121581.890,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121581.906,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.015,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.046,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.156,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.187,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.187,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.203,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.218,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.234,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.234,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.250,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.265,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.281,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.296,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.312,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.312,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.328,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.343,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.359,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.359,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.375,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.390,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.406,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.406,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.421,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.437,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.453,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.468,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.484,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.484,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.500,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.515,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.531,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.546,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.546,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.562,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.578,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.578,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.593,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.609,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.625,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.625,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.640,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.656,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.656,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.671,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.703,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.703,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.718,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.734,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.734,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.750,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.765,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.765,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.781,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.796,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.812,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.828,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.843,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.843,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.859,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.875,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.875,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.890,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.906,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.921,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.937,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.937,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.953,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.968,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121582.984,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.000,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.015,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.015,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.031,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.046,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.109,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.125,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.140,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.156,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.156,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.171,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.187,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.187,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.203,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.203,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.218,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.234,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.234,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.250,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.250,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.265,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.281,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.281,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.296,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.312,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.312,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.328,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.328,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.343,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.343,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.359,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.375,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.375,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.390,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.390,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.406,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.406,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.421,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.421,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.437,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.437,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.453,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.468,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.468,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.484,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.484,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.500,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.515,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.515,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.531,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.531,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.546,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.546,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.562,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.578,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.625,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.687,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.734,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.781,0,0,0,0.998,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.828,0,0,0,0.996,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.875,0,0,0,0.995,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.937,0,0,0,0.993,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121583.984,0,0,0,0.994,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.031,0,0,0,0.996,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.078,0,0,0,0.997,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.125,0,0,0,0.998,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.187,0,0,0,0.999,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.234,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.343,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.375,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.390,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.437,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.484,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.531,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.578,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.640,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.687,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.734,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.781,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.828,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.875,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.937,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121584.984,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121585.031,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121585.078,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121585.140,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121585.187,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
121587.968,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
121588.000,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
121588.031,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
121588.046,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
121588.062,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
121588.093,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
121588.109,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
121588.140,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
121588.171,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
121588.187,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
121588.203,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121588.234,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121588.250,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121588.296,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121588.328,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121588.343,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121588.359,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121588.375,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121588.390,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
121588.406,0,0,0,1.000,0.999,1.000,-90.00,180.00,0.00,OPEN,0
121588.421,0,0,0,1.000,0.998,1.000,-90.00,180.00,0.00,OPEN,0
121588.437,0,0,0,1.000,0.998,0.999,-90.00,180.00,0.00,OPEN,0
121588.453,0,0,0,1.000,0.999,0.998,-90.00,180.00,0.00,OPEN,0
121588.468,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
121588.484,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
121588.500,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
121588.515,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
121588.546,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
121588.546,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
