t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
672415.153,0,0,0,0.805,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.169,0,0,0,0.711,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.174,0,0,0,0.996,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.180,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.184,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.188,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.191,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.194,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.198,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.202,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.206,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.211,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.215,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.219,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.223,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.227,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.230,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.234,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.238,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.242,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.246,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.250,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.254,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.258,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.262,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.265,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.269,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.272,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.276,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.281,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.285,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.288,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.292,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.296,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.300,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.304,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.309,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.313,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.319,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.325,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.331,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.336,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.340,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.345,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.348,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.352,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.357,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.360,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.364,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.367,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.372,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.375,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
672415.379,0,0,0,1.000,1.000,1.000,-90.00,180.00,0.00,OPEN,0
