t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
667601.349,0,0,0,0.981,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.366,0,0,0,0.997,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.407,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
667601.456,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.507,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.555,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.606,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.656,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.706,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.756,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.807,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
667601.856,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
667601.906,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
667601.959,1,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
667602.006,1,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
667602.056,1,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
667602.106,1,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
667602.155,1,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
667602.206,1,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
667602.256,1,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
667602.306,1,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
667602.356,1,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
667602.406,1,0,0,1.000,1.000,0.972,-90.00,180.00,0.00,OPEN,0
667602.456,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
667602.506,1,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
667602.556,1,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
667602.606,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
667602.656,1,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
667602.706,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
667602.756,1,0,0,1.000,1.000,0.985,-90.00,180.00,0.00,OPEN,0
667602.807,1,0,0,1.000,1.000,0.889,-90.00,180.00,0.00,OPEN,0
667602.858,1,0,0,1.000,1.000,0.814,-90.00,180.00,0.00,OPEN,0
667602.907,1,0,0,1.000,1.000,0.943,-90.00,180.00,0.00,OPEN,0
667602.956,1,0,0,1.000,1.000,0.984,-90.00,180.00,0.00,OPEN,0
667603.005,1,0,0,1.000,1.000,0.991,-90.00,180.00,0.00,OPEN,0
667603.055,1,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
