t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
665662.518,0,0,0,0.981,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.535,0,0,0,0.997,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.540,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
665662.546,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.552,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.557,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.563,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.567,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.572,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.577,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.582,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
665662.586,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
665662.592,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
665662.597,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
665662.606,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
665662.654,0,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
665662.704,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
665662.754,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
665662.805,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
665662.855,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
665662.904,0,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
665662.954,0,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
665663.004,0,0,0,1.000,1.000,0.972,-90.00,180.00,0.00,OPEN,0
665663.055,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
665663.104,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
665663.155,1,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
665663.204,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
665663.254,1,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
665663.304,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
665663.354,1,0,0,1.000,1.000,0.985,-90.00,180.00,0.00,OPEN,0
665663.404,1,0,0,1.000,1.000,0.889,-90.00,180.00,0.00,OPEN,0
665663.454,1,0,0,1.000,1.000,0.814,-90.00,180.00,0.00,OPEN,0
665663.504,1,0,0,1.000,1.000,0.943,-90.00,180.00,0.00,OPEN,0
665663.554,1,0,0,1.000,1.000,0.984,-90.00,180.00,0.00,OPEN,0
665663.604,1,0,0,1.000,1.000,0.991,-90.00,180.00,0.00,OPEN,0
665663.654,1,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
665663.705,1,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
665663.754,1,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
665663.805,1,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
665663.854,1,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
665663.904,1,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
665663.954,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
665664.004,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
665664.054,1,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
665664.104,1,0,0,1.000,1.000,0.989,-90.00,180.00,0.00,OPEN,0
665664.154,1,0,0,1.000,1.000,0.981,-90.00,180.00,0.00,OPEN,0
665664.204,1,0,0,1.000,1.000,0.978,-90.00,180.00,0.00,OPEN,0
665664.254,1,0,0,1.000,1.000,0.983,-90.00,180.00,0.00,OPEN,0
665664.304,1,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
665664.354,1,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
665664.405,1,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
665664.454,1,0,0,1.000,1.000,0.989,-90.00,180.00,0.00,OPEN,0
665664.504,1,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
665664.554,1,0,0,1.000,1.000,0.957,-90.00,180.00,0.00,OPEN,0
665664.604,1,0,0,1.000,1.000,0.920,-90.00,180.00,0.00,OPEN,0
665664.654,1,0,0,1.000,1.000,0.942,-90.00,180.00,0.00,OPEN,0
665664.704,1,0,0,1.000,1.000,0.936,-90.00,180.00,0.00,OPEN,0
665664.754,1,0,0,1.000,1.000,0.935,-90.00,180.00,0.00,OPEN,0
665664.804,1,0,0,1.000,1.000,0.911,-90.00,180.00,0.00,OPEN,0
665664.854,1,0,0,1.000,1.000,0.908,-90.00,180.00,0.00,OPEN,0
665664.904,1,0,0,1.000,1.000,0.968,-90.00,180.00,0.00,OPEN,0
665664.954,1,0,0,1.000,1.000,0.969,-90.00,180.00,0.00,OPEN,0
665665.004,1,0,0,1.000,1.000,0.981,-90.00,180.00,0.00,OPEN,0
665665.054,1,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
665665.105,1,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
665665.154,1,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
665665.204,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
665665.254,1,0,0,1.000,1.000,0.990,-90.00,180.00,0.00,OPEN,0
665665.304,1,0,0,1.000,1.000,0.986,-90.00,180.00,0.00,OPEN,0
665665.353,1,0,0,1.000,1.000,0.987,-90.00,180.00,0.00,OPEN,0
665665.403,1,0,0,1.000,1.000,0.982,-90.00,180.00,0.00,OPEN,0
665665.454,1,0,0,1.000,1.000,0.978,-90.00,180.00,0.00,OPEN,0
665665.504,1,0,0,1.000,1.000,0.983,-90.00,180.00,0.00,OPEN,0
665665.554,1,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
665665.604,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
665665.654,1,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
665665.704,1,0,0,1.000,1.000,0.990,-90.00,180.00,0.00,OPEN,0
665665.754,1,0,0,1.000,1.000,0.991,-90.00,180.00,0.00,OPEN,0
665665.804,1,0,0,1.000,1.000,0.989,-90.00,180.00,0.00,OPEN,0
665665.854,1,0,0,1.000,1.000,0.986,-90.00,180.00,0.00,OPEN,0
665665.904,1,0,0,1.000,1.000,0.985,-90.00,180.00,0.00,OPEN,0
665665.954,1,0,0,1.000,1.000,0.981,-90.00,180.00,0.00,OPEN,0
665666.004,1,0,0,1.000,1.000,0.979,-90.00,180.00,0.00,OPEN,0
665666.055,1,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
665666.104,1,0,0,1.000,1.000,0.987,-90.00,180.00,0.00,OPEN,0
665666.154,1,0,0,1.000,1.000,0.987,-90.00,180.00,0.00,OPEN,0
665666.204,1,0,0,1.000,1.000,0.987,-90.00,180.00,0.00,OPEN,0
