t,hand,elbow,shoulder,p_hand,p_elbow,p_shoulder,J2,J3,J6,grip_state,cmd_sent
670982.759,0,0,0,0.981,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.786,0,0,0,0.997,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.795,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
670982.804,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.815,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.823,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.832,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.840,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.845,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.850,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.855,0,0,0,1.000,1.000,0.999,-90.00,180.00,0.00,OPEN,0
670982.860,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
670982.864,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
670982.872,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
670982.877,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
670982.882,0,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
670982.887,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
670982.896,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
670982.900,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
670982.903,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
670982.907,0,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
670982.911,0,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
670982.915,0,0,0,1.000,1.000,0.972,-90.00,180.00,0.00,OPEN,0
670982.919,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
670982.923,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
670982.927,0,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
670982.931,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
670982.935,0,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
670982.939,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
670982.944,0,0,0,1.000,1.000,0.985,-90.00,180.00,0.00,OPEN,0
670982.948,0,0,0,1.000,1.000,0.889,-90.00,180.00,0.00,OPEN,0
670982.952,0,0,0,1.000,1.000,0.814,-90.00,180.00,0.00,OPEN,0
670982.956,0,0,0,1.000,1.000,0.943,-90.00,180.00,0.00,OPEN,0
670982.960,0,0,0,1.000,1.000,0.984,-90.00,180.00,0.00,OPEN,0
670982.963,0,0,0,1.000,1.000,0.991,-90.00,180.00,0.00,OPEN,0
670982.968,0,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
670982.972,0,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
670982.975,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
670982.979,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
670982.983,0,0,0,1.000,1.000,0.998,-90.00,180.00,0.00,OPEN,0
670982.987,0,0,0,1.000,1.000,0.997,-90.00,180.00,0.00,OPEN,0
670982.994,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
670982.998,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
670983.001,0,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
670983.010,0,0,0,1.000,1.000,0.989,-90.00,180.00,0.00,OPEN,0
670983.013,0,0,0,1.000,1.000,0.981,-90.00,180.00,0.00,OPEN,0
670983.018,0,0,0,1.000,1.000,0.978,-90.00,180.00,0.00,OPEN,0
670983.025,0,0,0,1.000,1.000,0.983,-90.00,180.00,0.00,OPEN,0
670983.029,0,0,0,1.000,1.000,0.993,-90.00,180.00,0.00,OPEN,0
670983.033,0,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
670983.039,0,0,0,1.000,1.000,0.992,-90.00,180.00,0.00,OPEN,0
670983.043,0,0,0,1.000,1.000,0.989,-90.00,180.00,0.00,OPEN,0
670983.047,0,0,0,1.000,1.000,0.988,-90.00,180.00,0.00,OPEN,0
670983.050,0,0,0,1.000,1.000,0.957,-90.00,180.00,0.00,OPEN,0
670983.057,0,0,0,1.000,1.000,0.920,-90.00,180.00,0.00,OPEN,0
670983.061,0,0,0,1.000,1.000,0.942,-90.00,180.00,0.00,OPEN,0
670983.065,0,0,0,1.000,1.000,0.936,-90.00,180.00,0.00,OPEN,0
670983.071,0,0,0,1.000,1.000,0.935,-90.00,180.00,0.00,OPEN,0
670983.075,0,0,0,1.000,1.000,0.911,-90.00,180.00,0.00,OPEN,0
670983.079,0,0,0,1.000,1.000,0.908,-90.00,180.00,0.00,OPEN,0
670983.088,0,0,0,1.000,1.000,0.968,-90.00,180.00,0.00,OPEN,0
670983.091,0,0,0,1.000,1.000,0.969,-90.00,180.00,0.00,OPEN,0
670983.096,0,0,0,1.000,1.000,0.981,-90.00,180.00,0.00,OPEN,0
670983.105,0,0,0,1.000,1.000,0.995,-90.00,180.00,0.00,OPEN,0
670983.113,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
670983.120,0,0,0,1.000,1.000,0.996,-90.00,180.00,0.00,OPEN,0
670983.124,0,0,0,1.000,1.000,0.994,-90.00,180.00,0.00,OPEN,0
670983.128,0,0,0,1.000,1.000,0.990,-90.00,180.00,0.00,OPEN,0
670983.134,0,0,0,1.000,1.000,0.986,-90.00,180.00,0.00,OPEN,0
